Porosity,Permeability_1,Permeability_2,Permeability_3,Error
2.559060e-01,1.962541e-13,5.478765e-13,5.020542e-13,8.616798e-05
2.905323e-01,3.357285e-13,3.737244e-13,1.669926e-13,2.217249e-04
2.589172e-01,8.071345e-13,6.326927e-13,2.453206e-13,6.327917e-04
2.313582e-01,4.129461e-13,3.420660e-13,5.949758e-13,2.633180e-04
2.050094e-01,4.275401e-13,4.253166e-13,7.861356e-13,2.573213e-04
1.049663e-01,9.465894e-13,5.701905e-13,5.754205e-13,5.887618e-04
2.980951e-01,3.368846e-14,7.906195e-13,1.705892e-13,5.812834e-05
1.398882e-01,7.497991e-13,6.778556e-13,5.834621e-13,4.456757e-04
2.024950e-01,6.852706e-13,4.422547e-13,6.078518e-13,4.634558e-04
2.491850e-01,5.881938e-13,1.088125e-13,1.062710e-13,4.354143e-04
1.890531e-01,7.844562e-13,6.757057e-14,1.592455e-13,5.399357e-04
2.813834e-01,9.889509e-13,5.607877e-13,4.869131e-13,8.253384e-04
2.897485e-01,4.982929e-13,3.811388e-13,9.563714e-13,3.720490e-04
2.129537e-01,5.188196e-13,3.981977e-13,7.401822e-13,3.427586e-04
1.579494e-01,5.560144e-13,4.551713e-13,8.748817e-13,3.283938e-04
1.242748e-01,9.647826e-13,4.444855e-13,2.159068e-13,6.039635e-04
2.018161e-01,3.224213e-13,7.881698e-14,8.790792e-13,1.719564e-04
1.175546e-01,9.404083e-13,1.908463e-13,9.483090e-13,5.738525e-04
2.504514e-01,6.912853e-14,1.959829e-13,6.214421e-13,2.753914e-05
2.501008e-01,2.675756e-13,7.144031e-13,8.929970e-13,1.495683e-04
1.063353e-01,5.746285e-13,5.437193e-13,7.570512e-13,3.326055e-04
1.295486e-01,8.837796e-13,9.205028e-13,4.160871e-13,5.431052e-04
1.785521e-01,8.856751e-13,4.349422e-13,7.126382e-13,5.867937e-04
1.182412e-01,9.583946e-13,8.315969e-13,4.873506e-13,5.858484e-04
2.199540e-01,5.919347e-13,1.770194e-13,3.709639e-13,4.142524e-04
2.576915e-01,7.209703e-13,3.827408e-13,2.504548e-13,5.554431e-04
2.056423e-01,5.947815e-13,1.269022e-13,6.727623e-13,3.925866e-04
1.687012e-01,4.567405e-13,5.704412e-13,8.406498e-13,2.560093e-04
1.890642e-01,2.070836e-13,1.966500e-13,3.994424e-13,7.984500e-05
2.954118e-01,5.743367e-13,9.806103e-13,1.676660e-13,4.432203e-04
1.995974e-01,5.671596e-13,2.320511e-13,9.415360e-13,3.675900e-04
1.489857e-01,6.776434e-13,1.718874e-13,3.357224e-13,3.975997e-04
1.804158e-01,7.530842e-13,9.357132e-13,3.033566e-13,4.924540e-04
2.687740e-01,5.342227e-13,1.016874e-13,4.026952e-13,3.923272e-04
